,C,S,Se,P,As,Te,Ge,Sn,Si,Ga,B,Cd,Hg,Sb,Bi,Zn,Mg,Na,K,Au,Ag,Ba,Sr,Ca,Cs,Cu,Pd,Al,Tl,In,Ni,Co,Hf,Zr,Mo,Ti,Ta,Sc,Y,Rh,Ru,Pt,Ir,Os,Re,Pb,V,Nb,W,Cr,Be,Li,Fe,Mn,Rb
C,1.00,0.94,0.91,0.91,0.88,0.86,0.84,0.76,0.67,0.60,0.35,0.29,0.18,0.18,0.11,-0.41,-0.62,-0.67,-0.67,-0.68,-0.69,-0.76,-0.78,-0.80,-0.79,-0.80,-0.77,-0.77,-0.81,-0.85,-0.85,-0.86,-0.90,-0.91,-0.89,-0.89,-0.87,-0.88,-0.86,-0.80,-0.80,-0.79,-0.80,-0.82,-0.87,-0.90,-0.94,-0.95,-0.95,-0.90,-0.88,-0.82,-0.85,-0.63,-0.51
S,0.94,1.00,0.99,0.96,0.93,0.97,0.90,0.84,0.76,0.76,0.41,0.43,0.39,0.19,0.14,-0.32,-0.55,-0.58,-0.57,-0.57,-0.54,-0.62,-0.66,-0.68,-0.68,-0.68,-0.66,-0.65,-0.70,-0.76,-0.77,-0.79,-0.82,-0.84,-0.84,-0.81,-0.79,-0.79,-0.76,-0.72,-0.74,-0.72,-0.76,-0.80,-0.84,-0.88,-0.89,-0.94,-0.95,-0.88,-0.83,-0.76,-0.79,-0.66,-0.43
Se,0.91,0.99,1.00,0.96,0.94,0.99,0.93,0.89,0.81,0.82,0.48,0.52,0.49,0.25,0.22,-0.23,-0.48,-0.50,-0.49,-0.47,-0.44,-0.53,-0.57,-0.60,-0.58,-0.58,-0.57,-0.56,-0.62,-0.69,-0.69,-0.72,-0.75,-0.77,-0.78,-0.74,-0.72,-0.71,-0.68,-0.64,-0.66,-0.64,-0.69,-0.73,-0.78,-0.82,-0.83,-0.89,-0.92,-0.84,-0.78,-0.70,-0.74,-0.62,-0.36
P,0.91,0.96,0.96,1.00,0.99,0.95,0.93,0.88,0.81,0.81,0.46,0.53,0.47,0.39,0.35,-0.20,-0.47,-0.48,-0.46,-0.50,-0.46,-0.53,-0.57,-0.59,-0.59,-0.59,-0.56,-0.55,-0.62,-0.68,-0.68,-0.71,-0.74,-0.77,-0.77,-0.74,-0.71,-0.71,-0.68,-0.62,-0.65,-0.64,-0.68,-0.72,-0.77,-0.82,-0.84,-0.88,-0.90,-0.82,-0.77,-0.68,-0.71,-0.61,-0.38
As,0.88,0.93,0.94,0.99,1.00,0.94,0.93,0.90,0.84,0.84,0.50,0.56,0.50,0.50,0.46,-0.13,-0.40,-0.42,-0.39,-0.42,-0.39,-0.46,-0.50,-0.52,-0.52,-0.52,-0.47,-0.47,-0.53,-0.60,-0.60,-0.63,-0.67,-0.70,-0.69,-0.67,-0.63,-0.64,-0.61,-0.53,-0.55,-0.55,-0.59,-0.63,-0.69,-0.75,-0.79,-0.82,-0.85,-0.76,-0.71,-0.61,-0.66,-0.57,-0.33
Te,0.86,0.97,0.99,0.95,0.94,1.00,0.94,0.91,0.85,0.87,0.54,0.59,0.58,0.31,0.29,-0.14,-0.41,-0.41,-0.39,-0.36,-0.32,-0.43,-0.48,-0.51,-0.48,-0.48,-0.46,-0.46,-0.52,-0.59,-0.59,-0.63,-0.67,-0.69,-0.70,-0.66,-0.64,-0.63,-0.59,-0.54,-0.57,-0.53,-0.59,-0.65,-0.70,-0.75,-0.76,-0.83,-0.86,-0.77,-0.71,-0.63,-0.67,-0.57,-0.29
Ge,0.84,0.90,0.93,0.93,0.93,0.94,1.00,0.99,0.96,0.90,0.61,0.69,0.62,0.35,0.35,0.01,-0.27,-0.35,-0.33,-0.37,-0.29,-0.31,-0.35,-0.38,-0.40,-0.41,-0.38,-0.38,-0.46,-0.54,-0.51,-0.54,-0.57,-0.59,-0.59,-0.55,-0.52,-0.52,-0.48,-0.46,-0.50,-0.51,-0.56,-0.61,-0.63,-0.65,-0.69,-0.75,-0.80,-0.69,-0.61,-0.51,-0.59,-0.52,-0.30
Sn,0.76,0.84,0.89,0.88,0.90,0.91,0.99,1.00,0.99,0.94,0.68,0.77,0.71,0.40,0.42,0.13,-0.16,-0.23,-0.21,-0.24,-0.15,-0.17,-0.22,-0.24,-0.26,-0.27,-0.24,-0.24,-0.32,-0.41,-0.38,-0.41,-0.44,-0.47,-0.47,-0.43,-0.39,-0.39,-0.35,-0.33,-0.38,-0.38,-0.44,-0.50,-0.52,-0.54,-0.59,-0.65,-0.71,-0.60,-0.50,-0.39,-0.48,-0.44,-0.21
Si,0.67,0.76,0.81,0.81,0.84,0.85,0.96,0.99,1.00,0.92,0.69,0.82,0.76,0.42,0.46,0.25,-0.05,-0.14,-0.11,-0.14,-0.04,-0.05,-0.09,-0.11,-0.14,-0.15,-0.12,-0.13,-0.22,-0.30,-0.26,-0.30,-0.32,-0.35,-0.35,-0.31,-0.27,-0.27,-0.22,-0.21,-0.26,-0.28,-0.34,-0.40,-0.40,-0.42,-0.48,-0.54,-0.61,-0.49,-0.39,-0.28,-0.39,-0.37,-0.17
Ga,0.60,0.76,0.82,0.81,0.84,0.87,0.90,0.94,0.92,1.00,0.76,0.77,0.80,0.46,0.50,0.17,-0.04,-0.03,-0.02,-0.05,0.03,0.00,-0.07,-0.08,-0.08,-0.09,-0.07,-0.02,-0.11,-0.20,-0.21,-0.26,-0.29,-0.31,-0.33,-0.27,-0.24,-0.23,-0.19,-0.17,-0.23,-0.22,-0.29,-0.36,-0.38,-0.41,-0.45,-0.51,-0.59,-0.48,-0.36,-0.27,-0.32,-0.32,-0.01
B,0.35,0.41,0.48,0.46,0.50,0.54,0.61,0.68,0.69,0.76,1.00,0.68,0.70,0.33,0.41,0.34,0.16,0.23,0.23,0.24,0.27,0.19,0.11,0.12,0.19,0.16,0.15,0.21,0.11,0.05,0.04,0.01,-0.02,-0.03,-0.03,-0.03,0.03,0.02,0.05,0.05,0.00,0.07,-0.03,-0.09,-0.09,-0.08,-0.16,-0.19,-0.27,-0.19,-0.09,-0.05,-0.05,0.02,0.24
Cd,0.29,0.43,0.52,0.53,0.56,0.59,0.69,0.77,0.82,0.77,0.68,1.00,0.89,0.42,0.50,0.69,0.28,0.22,0.25,0.24,0.35,0.31,0.27,0.26,0.26,0.24,0.24,0.20,0.12,0.04,0.12,0.07,0.05,0.01,0.00,0.05,0.08,0.10,0.14,0.13,0.06,0.09,0.00,-0.07,-0.06,-0.09,-0.10,-0.19,-0.26,-0.14,-0.04,0.05,-0.04,-0.08,0.17
Hg,0.18,0.39,0.49,0.47,0.50,0.58,0.62,0.71,0.76,0.80,0.70,0.89,1.00,0.37,0.46,0.55,0.28,0.31,0.31,0.36,0.47,0.39,0.36,0.33,0.35,0.35,0.32,0.31,0.22,0.14,0.19,0.13,0.13,0.10,0.06,0.13,0.17,0.18,0.22,0.18,0.09,0.16,0.05,-0.04,-0.02,-0.03,-0.03,-0.11,-0.21,-0.09,0.01,0.08,0.07,-0.03,0.23
Sb,0.18,0.19,0.25,0.39,0.50,0.31,0.35,0.40,0.42,0.46,0.33,0.42,0.37,1.00,0.99,0.33,0.18,0.17,0.26,0.31,0.28,0.16,0.15,0.17,0.17,0.21,0.32,0.26,0.26,0.21,0.22,0.20,0.12,0.08,0.12,0.09,0.14,0.10,0.12,0.33,0.33,0.31,0.31,0.28,0.20,0.07,-0.03,0.00,-0.01,0.01,0.01,0.11,0.03,-0.06,0.08
Bi,0.11,0.14,0.22,0.35,0.46,0.29,0.35,0.42,0.46,0.50,0.41,0.50,0.46,0.99,1.00,0.43,0.28,0.27,0.36,0.41,0.39,0.28,0.27,0.29,0.29,0.33,0.43,0.37,0.36,0.31,0.32,0.30,0.22,0.18,0.21,0.19,0.25,0.21,0.23,0.42,0.41,0.40,0.39,0.36,0.28,0.16,0.06,0.08,0.06,0.10,0.10,0.20,0.12,0.00,0.16
Zn,-0.41,-0.32,-0.23,-0.20,-0.13,-0.14,0.01,0.13,0.25,0.17,0.34,0.69,0.55,0.33,0.43,1.00,0.72,0.62,0.68,0.68,0.75,0.75,0.75,0.76,0.76,0.75,0.74,0.67,0.65,0.61,0.70,0.68,0.66,0.64,0.64,0.65,0.67,0.68,0.70,0.70,0.65,0.65,0.61,0.57,0.60,0.59,0.57,0.52,0.47,0.52,0.59,0.62,0.52,0.39,0.45
Mg,-0.62,-0.55,-0.48,-0.47,-0.40,-0.41,-0.27,-0.16,-0.05,-0.04,0.16,0.28,0.28,0.18,0.28,0.72,1.00,0.68,0.69,0.66,0.70,0.78,0.81,0.80,0.79,0.76,0.78,0.78,0.77,0.76,0.78,0.76,0.78,0.77,0.79,0.77,0.80,0.78,0.78,0.75,0.73,0.71,0.69,0.67,0.73,0.75,0.73,0.71,0.67,0.68,0.81,0.71,0.67,0.52,0.49
Na,-0.67,-0.58,-0.50,-0.48,-0.42,-0.41,-0.35,-0.23,-0.14,-0.03,0.23,0.22,0.31,0.17,0.27,0.62,0.68,1.00,0.90,0.77,0.81,0.82,0.79,0.81,0.86,0.83,0.81,0.83,0.84,0.82,0.81,0.80,0.80,0.80,0.78,0.78,0.80,0.81,0.81,0.77,0.75,0.77,0.72,0.70,0.74,0.73,0.78,0.72,0.67,0.71,0.75,0.77,0.73,0.58,0.68
K,-0.67,-0.57,-0.49,-0.46,-0.39,-0.39,-0.33,-0.21,-0.11,-0.02,0.23,0.25,0.31,0.26,0.36,0.68,0.69,0.90,1.00,0.81,0.84,0.84,0.82,0.84,0.88,0.86,0.86,0.86,0.86,0.84,0.85,0.84,0.82,0.82,0.81,0.80,0.82,0.84,0.84,0.83,0.81,0.82,0.78,0.76,0.80,0.76,0.78,0.74,0.70,0.70,0.76,0.74,0.76,0.55,0.60
Au,-0.68,-0.57,-0.47,-0.50,-0.42,-0.36,-0.37,-0.24,-0.14,-0.05,0.24,0.24,0.36,0.31,0.41,0.68,0.66,0.77,0.81,1.00,0.97,0.81,0.81,0.83,0.92,0.94,0.92,0.87,0.90,0.89,0.90,0.89,0.84,0.83,0.82,0.82,0.84,0.84,0.84,0.90,0.87,0.95,0.91,0.87,0.86,0.81,0.80,0.77,0.74,0.74,0.73,0.73,0.73,0.58,0.65
Ag,-0.69,-0.54,-0.44,-0.46,-0.39,-0.32,-0.29,-0.15,-0.04,0.03,0.27,0.35,0.47,0.28,0.39,0.75,0.70,0.81,0.84,0.97,1.00,0.90,0.90,0.90,0.96,0.98,0.95,0.91,0.91,0.89,0.92,0.90,0.87,0.86,0.84,0.86,0.87,0.89,0.89,0.90,0.86,0.92,0.87,0.82,0.83,0.81,0.80,0.77,0.72,0.74,0.76,0.77,0.77,0.58,0.67
Ba,-0.76,-0.62,-0.53,-0.53,-0.46,-0.43,-0.31,-0.17,-0.05,0.00,0.19,0.31,0.39,0.16,0.28,0.75,0.78,0.82,0.84,0.81,0.90,1.00,0.98,0.98,0.96,0.95,0.95,0.95,0.93,0.91,0.94,0.92,0.94,0.93,0.90,0.94,0.94,0.96,0.97,0.91,0.87,0.84,0.81,0.78,0.83,0.85,0.85,0.82,0.75,0.79,0.85,0.86,0.84,0.58,0.61
Sr,-0.78,-0.66,-0.57,-0.57,-0.50,-0.48,-0.35,-0.22,-0.09,-0.07,0.11,0.27,0.36,0.15,0.27,0.75,0.81,0.79,0.82,0.81,0.90,0.98,1.00,0.98,0.95,0.96,0.95,0.93,0.92,0.91,0.94,0.93,0.95,0.94,0.91,0.96,0.95,0.97,0.98,0.91,0.87,0.85,0.82,0.80,0.85,0.87,0.86,0.85,0.79,0.81,0.87,0.87,0.85,0.58,0.55
Ca,-0.80,-0.68,-0.60,-0.59,-0.52,-0.51,-0.38,-0.24,-0.11,-0.08,0.12,0.26,0.33,0.17,0.29,0.76,0.80,0.81,0.84,0.83,0.90,0.98,0.98,1.00,0.97,0.96,0.96,0.96,0.94,0.93,0.96,0.95,0.96,0.96,0.94,0.97,0.97,0.98,0.98,0.93,0.89,0.87,0.85,0.83,0.88,0.90,0.88,0.87,0.82,0.83,0.89,0.89,0.85,0.59,0.57
